Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
"C1, C15, C25, C26, C28, C29, C30",0402,7,100nF,C307331
"C10, C4, C7",0402,3,2.2uF,C12530
C14,0402,1,100pF,C1546
C16,CP_Elec_6.3x7.7,1,~,C4747974
C21,0402,1,10uF,C15525
"C22, C23",0603,2,"10uF,25V",C96446
"C24, C27, C31",0402,3,1uF,C52923
"C3, C34, C6, C9",0402,4,10nF,C15195
"C32, C33, C37, C38",0402,4,10pF,C32949
"C35, C36",0603,2,"22uF, 6V3",C59461
"C5, C8",0805,2,10uF,C15850
D1,D_SOD-323,1,Z5V6,C22612
D2,D_SOD-323,1,1N5819,C191023
D3,D_SOD-323,1,Z3V3,C75073
D5,LED_3mm,1,LED_blue,C2895474
D6,LED_3mm,1,LED_green,C2895476
"J1, J17, J4, J7",JST_SH_1x06_Vertical,4,JST SR/SZ,C160392
J14,1206,1,RFANT3216120A5T,C127629
J15,DC-005C_1,1,Barrel_Jack,C84007
J16,PinSocket_1x01_P2.54mm_Vertical,1,VIN,
J18,PinSocket_1x01_P2.54mm_Vertical,1,GND,
"J2, J3, J5, J6, J8, J9",TerminalBlock_Ningbo_2P_5mm,6,Screw_Terminal_01x02,C557646
"L1, L2",LVF252A12,2,4.7uH,C98354
Q1,SOT-23-small,1,AO3401A,C15127
R10,0402,1,10K,C25744
R11,0402,1,68K,C36871
"R12, R26",0402,2,15K,C25756
R13,0402,1,33K,C25779
R14,0402,1,4K7,C25900
"R15, R16",0402,2,5.1K,C25905
"R17, R18, R29, R5",0402,4,1K,C11702
R27,0402,1,2K2,C25879
R30,0402,1,6K8,C25917
SW1,Button_SKRKAEE020,1,reset,C115357
SW2,Button_SKRKAEE020,1,boot,C115357
TP1,PogoPad1,1,RX0,
TP2,PogoPad1,1,TX0,
TP20,PogoPad1,1,Svin,
TP21,PogoPad1,1,Sver,
TP3,PogoPad1,1,GND,
"U1, U4, U5",HR8833,3,HR8833,C128666
U11,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Qwiic1,C160390
"U15, U16",TSOT-23-6,2,SY8113BADC,C78989
U17,USB_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
"U18, U19, U7",ServoPorts_2x3,3,ServoPorts_2x3,C5116479
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,ESP32-S3FN8,C2913196
U3,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_ESP32,C501798
U8,XKB5858-Z-75,1,5.8 ZSPT, C2681588
U9,SOT-666,1,USBLC6-2P6,C2827693
