Designator,Mid X,Mid Y,Layer,Rotation
_3,-20,23,top,0
_2,20,-17.000001,top,0
,5,2,top,180
C1,7.759037,15.57,top,90
C10,-0.5,-3.2,top,270
C14,12.4,15.5,top,180
C15,16.6,17.9,top,0
C16,-11.3,11.5,top,90
C21,10.591537,15.57,top,270
C22,-4.2625,7.65,top,180
C23,-1.4625,12.25,top,0
C24,9.621538,15.57,top,270
C25,2.7,10,top,90
C26,2.7,7.8,top,270
C27,2.7,6,top,270
C28,-4.7,12.05,top,0
C29,-1,7.85,top,180
C3,0.5,-3.2,top,90
C30,14,7.95,top,180
C31,13.579037,14.298528,top,180
C32,-4.9,5.85,top,90
C33,-0.8,14.05,top,270
C34,13.579037,13.45,top,180
C35,-6.3625,13.05,top,270
C36,0.6375,6.85,top,90
C37,13.579037,12.601471,top,0
C38,14.009037,8.85,top,0
C4,0.5,-5,top,90
C5,1.1,0.35,top,270
C6,-0.5,0.725,top,270
C7,-0.5,2.525,top,270
C8,1.1,3.6,top,90
C9,-0.5,-5,top,270
D1,13.7,23.3,top,180
D2,12,17.2,top,180
D3,13.7,18.5,top,180
D5,-11,2.85,top,90
D6,11,2.85,top,90
J1,11.7,-5,top,90
J14,20.7,17.3,top,0
J15,-6.5,20.7,top,0
J16,-13.9,7.1402,bottom,180
J17,11.7,-15,top,90
J18,-8.7,7.1402,bottom,180
J2,19,0.75,top,270
J3,19,10.75,top,270
J4,-11.7,-5,top,270
J5,-19,11.25,top,90
J6,-19,1.25,top,90
J7,-11.7,-15,top,270
J8,-19,-8.75,top,90
J9,19,-9.25,top,270
L1,-4.2625,13.75,top,180
L2,-1.4625,6.15,top,0
Q1,14,20.9,top,270
R10,11.9,21.4,top,270
R11,-5.8,5.85,top,90
R12,-3.5,5.85,top,90
R13,0.1,14.05,top,270
R14,-2.2,14.05,top,270
R15,7.003708,16.930788,top,180
R16,1,18.5,top,90
R17,-11.3,5.8,top,180
R18,13.6,4.6,top,180
R26,14.8,17,top,180
R27,16.59,17,top,180
R29,6.84909,15.563713,top,270
R30,5.84909,15.573713,top,90
R5,8.721537,15.569999,top,90
SW1,2.7,-18.2,top,180
SW2,-2.7,-18.2,top,0
TP1,16.7,11,bottom,180
TP2,16.7,13.3,bottom,180
TP20,15,17.8,bottom,0
TP21,12.7,17.8,bottom,90
TP3,16.7,8.7,bottom,0
U1,4.9,-4.1,top,180
U11,-19.05,-16.670001,top,180
U15,-4.8625,9.95,top,180
U16,-0.8625,9.95,top,0
U17,6.7,21.125,top,180
U18,-5.1,-11,top,90
U19,0,-11,top,90
U2,7.9,9.9,top,0
U3,13.791169,10.692283,top,90
U4,-4.9,1.625,top,0
U5,-4.9,-4.1,top,0
U7,5.05,-11,top,90
U8,18.7,21.7,top,90
U9,2.8,16.1,top,0
