Designator,Footprint,Quantity,Value,LCSC Part #
"_30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,30,,
"C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C15_10, C15_9, C15_8, C15_7, C15_6, C15_5, C15_4, C15_3, C15_2, C15, C25_10, C25_9, C25_8, C25_7, C25_6, C25_5, C25_4, C25_3, C25_2, C25, C26_10, C26_9, C26_8, C26_7, C26_6, C26_5, C26_4, C26_3, C26_2, C26, C28_10, C28_9, C28_8, C28_7, C28_6, C28_5, C28_4, C28_3, C28_2, C28, C29_10, C29_9, C29_8, C29_7, C29_6, C29_5, C29_4, C29_3, C29_2, C29, C30_10, C30_9, C30_8, C30_7, C30_6, C30_5, C30_4, C30_3, C30_2, C30, C40_10, C40_9, C40_8, C40_7, C40_6, C40_5, C40_4, C40_3, C40_2, C40, C42_10, C42_9, C42_8, C42_7, C42_6, C42_5, C42_4, C42_3, C42_2, C42",0402,90,100nF,C307331
"C10_10, C10_9, C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C13_10, C13_9, C13_8, C13_7, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C4_10, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C7_10, C7_9, C7_8, C7_7, C7_6, C7_5, C7_4, C7_3, C7_2, C7",0402,40,2.2uF,C12530
"C11_10, C11_9, C11_8, C11_7, C11_6, C11_5, C11_4, C11_3, C11_2, C11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C5_10, C5_9, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C8_10, C8_9, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8",0805,40,10uF,C15850
"C12_10, C12_9, C12_8, C12_7, C12_6, C12_5, C12_4, C12_3, C12_2, C12, C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C34_10, C34_9, C34_8, C34_7, C34_6, C34_5, C34_4, C34_3, C34_2, C34, C6_10, C6_9, C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6, C9_10, C9_9, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0402,50,10nF,C15195
"C14_10, C14_9, C14_8, C14_7, C14_6, C14_5, C14_4, C14_3, C14_2, C14",0402,10,100pF,C1546
"C16_10, C16_9, C16_8, C16_7, C16_6, C16_5, C16_4, C16_3, C16_2, C16",CP_Elec_6.3x7.7,10,~,C4747974
"C21_10, C21_9, C21_8, C21_7, C21_6, C21_5, C21_4, C21_3, C21_2, C21, C43_10, C43_9, C43_8, C43_7, C43_6, C43_5, C43_4, C43_3, C43_2, C43",0402,20,10uF,C15525
"C22_10, C22_9, C22_8, C22_7, C22_6, C22_5, C22_4, C22_3, C22_2, C22, C23_10, C23_9, C23_8, C23_7, C23_6, C23_5, C23_4, C23_3, C23_2, C23",0603,20,"10uF,25V",C96446
"C24_10, C24_9, C24_8, C24_7, C24_6, C24_5, C24_4, C24_3, C24_2, C24, C27_10, C27_9, C27_8, C27_7, C27_6, C27_5, C27_4, C27_3, C27_2, C27, C31_10, C31_9, C31_8, C31_7, C31_6, C31_5, C31_4, C31_3, C31_2, C31",0402,30,1uF,C52923
"C32_10, C32_9, C32_8, C32_7, C32_6, C32_5, C32_4, C32_3, C32_2, C32, C33_10, C33_9, C33_8, C33_7, C33_6, C33_5, C33_4, C33_3, C33_2, C33, C37_10, C37_9, C37_8, C37_7, C37_6, C37_5, C37_4, C37_3, C37_2, C37, C38_10, C38_9, C38_8, C38_7, C38_6, C38_5, C38_4, C38_3, C38_2, C38",0402,40,10pF,C32949
"C35_10, C35_9, C35_8, C35_7, C35_6, C35_5, C35_4, C35_3, C35_2, C35, C36_10, C36_9, C36_8, C36_7, C36_6, C36_5, C36_4, C36_3, C36_2, C36",0603,20,"22uF, 6V3",C59461
"D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",D_SOD-323,10,Z5V6,C22612
"D2_10, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2",D_SOD-323,10,1N5819,C191023
"D3_10, D3_9, D3_8, D3_7, D3_6, D3_5, D3_4, D3_3, D3_2, D3",D_SOD-323,10,Z3V3,C75073
"D5_10, D5_9, D5_8, D5_7, D5_6, D5_5, D5_4, D5_3, D5_2, D5",LED_3mm,10,LED_blue,C2895474
"D6_10, D6_9, D6_8, D6_7, D6_6, D6_5, D6_4, D6_3, D6_2, D6",LED_3mm,10,LED_green,C2895476
"J1_10, J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1, J10_10, J10_9, J10_8, J10_7, J10_6, J10_5, J10_4, J10_3, J10_2, J10, J13_10, J13_9, J13_8, J13_7, J13_6, J13_5, J13_4, J13_3, J13_2, J13, J17_10, J17_9, J17_8, J17_7, J17_6, J17_5, J17_4, J17_3, J17_2, J17, J4_10, J4_9, J4_8, J4_7, J4_6, J4_5, J4_4, J4_3, J4_2, J4, J7_10, J7_9, J7_8, J7_7, J7_6, J7_5, J7_4, J7_3, J7_2, J7",JST_SH_1x06_Vertical,60,JST SR/SZ,C160392
