Designator,Footprint,Quantity,Value,LCSC Part #
"_60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,60,,
"C1_20, C1_19, C1_18, C1_17, C1_16, C1_15, C1_14, C1_13, C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C15_20, C15_19, C15_18, C15_17, C15_16, C15_15, C15_14, C15_13, C15_12, C15_11, C15_10, C15_9, C15_8, C15_7, C15_6, C15_5, C15_4, C15_3, C15_2, C15, C25_20, C25_19, C25_18, C25_17, C25_16, C25_15, C25_14, C25_13, C25_12, C25_11, C25_10, C25_9, C25_8, C25_7, C25_6, C25_5, C25_4, C25_3, C25_2, C25, C26_20, C26_19, C26_18, C26_17, C26_16, C26_15, C26_14, C26_13, C26_12, C26_11, C26_10, C26_9, C26_8, C26_7, C26_6, C26_5, C26_4, C26_3, C26_2, C26, C28_20, C28_19, C28_18, C28_17, C28_16, C28_15, C28_14, C28_13, C28_12, C28_11, C28_10, C28_9, C28_8, C28_7, C28_6, C28_5, C28_4, C28_3, C28_2, C28, C29_20, C29_19, C29_18, C29_17, C29_16, C29_15, C29_14, C29_13, C29_12, C29_11, C29_10, C29_9, C29_8, C29_7, C29_6, C29_5, C29_4, C29_3, C29_2, C29, C30_20, C30_19, C30_18, C30_17, C30_16, C30_15, C30_14, C30_13, C30_12, C30_11, C30_10, C30_9, C30_8, C30_7, C30_6, C30_5, C30_4, C30_3, C30_2, C30, C40_20, C40_19, C40_18, C40_17, C40_16, C40_15, C40_14, C40_13, C40_12, C40_11, C40_10, C40_9, C40_8, C40_7, C40_6, C40_5, C40_4, C40_3, C40_2, C40, C42_20, C42_19, C42_18, C42_17, C42_16, C42_15, C42_14, C42_13, C42_12, C42_11, C42_10, C42_9, C42_8, C42_7, C42_6, C42_5, C42_4, C42_3, C42_2, C42",0402,180,100nF,C307331
"C10_20, C10_19, C10_18, C10_17, C10_16, C10_15, C10_14, C10_13, C10_12, C10_11, C10_10, C10_9, C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C13_20, C13_19, C13_18, C13_17, C13_16, C13_15, C13_14, C13_13, C13_12, C13_11, C13_10, C13_9, C13_8, C13_7, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C4_20, C4_19, C4_18, C4_17, C4_16, C4_15, C4_14, C4_13, C4_12, C4_11, C4_10, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C7_20, C7_19, C7_18, C7_17, C7_16, C7_15, C7_14, C7_13, C7_12, C7_11, C7_10, C7_9, C7_8, C7_7, C7_6, C7_5, C7_4, C7_3, C7_2, C7",0402,80,2.2uF,C12530
"C11_20, C11_19, C11_18, C11_17, C11_16, C11_15, C11_14, C11_13, C11_12, C11_11, C11_10, C11_9, C11_8, C11_7, C11_6, C11_5, C11_4, C11_3, C11_2, C11, C2_20, C2_19, C2_18, C2_17, C2_16, C2_15, C2_14, C2_13, C2_12, C2_11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C5_20, C5_19, C5_18, C5_17, C5_16, C5_15, C5_14, C5_13, C5_12, C5_11, C5_10, C5_9, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C8_20, C8_19, C8_18, C8_17, C8_16, C8_15, C8_14, C8_13, C8_12, C8_11, C8_10, C8_9, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8",0805,80,10uF,C15850
"C12_20, C12_19, C12_18, C12_17, C12_16, C12_15, C12_14, C12_13, C12_12, C12_11, C12_10, C12_9, C12_8, C12_7, C12_6, C12_5, C12_4, C12_3, C12_2, C12, C3_20, C3_19, C3_18, C3_17, C3_16, C3_15, C3_14, C3_13, C3_12, C3_11, C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C34_20, C34_19, C34_18, C34_17, C34_16, C34_15, C34_14, C34_13, C34_12, C34_11, C34_10, C34_9, C34_8, C34_7, C34_6, C34_5, C34_4, C34_3, C34_2, C34, C6_20, C6_19, C6_18, C6_17, C6_16, C6_15, C6_14, C6_13, C6_12, C6_11, C6_10, C6_9, C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6, C9_20, C9_19, C9_18, C9_17, C9_16, C9_15, C9_14, C9_13, C9_12, C9_11, C9_10, C9_9, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0402,100,10nF,C15195
"C14_20, C14_19, C14_18, C14_17, C14_16, C14_15, C14_14, C14_13, C14_12, C14_11, C14_10, C14_9, C14_8, C14_7, C14_6, C14_5, C14_4, C14_3, C14_2, C14",0402,20,100pF,C1546
"C16_20, C16_19, C16_18, C16_17, C16_16, C16_15, C16_14, C16_13, C16_12, C16_11, C16_10, C16_9, C16_8, C16_7, C16_6, C16_5, C16_4, C16_3, C16_2, C16",CP_Elec_6.3x7.7,20,~,C4747974
"C21_20, C21_19, C21_18, C21_17, C21_16, C21_15, C21_14, C21_13, C21_12, C21_11, C21_10, C21_9, C21_8, C21_7, C21_6, C21_5, C21_4, C21_3, C21_2, C21, C43_20, C43_19, C43_18, C43_17, C43_16, C43_15, C43_14, C43_13, C43_12, C43_11, C43_10, C43_9, C43_8, C43_7, C43_6, C43_5, C43_4, C43_3, C43_2, C43",0402,40,10uF,C15525
"C22_20, C22_19, C22_18, C22_17, C22_16, C22_15, C22_14, C22_13, C22_12, C22_11, C22_10, C22_9, C22_8, C22_7, C22_6, C22_5, C22_4, C22_3, C22_2, C22, C23_20, C23_19, C23_18, C23_17, C23_16, C23_15, C23_14, C23_13, C23_12, C23_11, C23_10, C23_9, C23_8, C23_7, C23_6, C23_5, C23_4, C23_3, C23_2, C23",0603,40,"10uF,25V",C96446
"C24_20, C24_19, C24_18, C24_17, C24_16, C24_15, C24_14, C24_13, C24_12, C24_11, C24_10, C24_9, C24_8, C24_7, C24_6, C24_5, C24_4, C24_3, C24_2, C24, C27_20, C27_19, C27_18, C27_17, C27_16, C27_15, C27_14, C27_13, C27_12, C27_11, C27_10, C27_9, C27_8, C27_7, C27_6, C27_5, C27_4, C27_3, C27_2, C27, C31_20, C31_19, C31_18, C31_17, C31_16, C31_15, C31_14, C31_13, C31_12, C31_11, C31_10, C31_9, C31_8, C31_7, C31_6, C31_5, C31_4, C31_3, C31_2, C31",0402,60,1uF,C52923
