Designator,Mid X,Mid Y,Rotation,Layer
_24,10.001999,-3.0,0.0,top
_23,58.001999,-3.0,0.0,top
_22,50.001999,-111.0,0.0,top
_21,50.001999,-53.0,0.0,top
_20,168.001999,-31.0,180.0,top
_19,146.001999,-111.0,0.0,top
_18,98.001999,-53.0,0.0,top
_17,154.001999,-3.0,0.0,top
_16,106.001999,-3.0,0.0,top
_15,120.001999,-89.0,180.0,top
_14,194.001999,-53.0,0.0,top
_13,120.001999,-31.0,180.0,top
_12,168.001999,-89.0,180.0,top
_11,146.001999,-53.0,0.0,top
_10,106.001999,-61.0,0.0,top
_9,24.001999,-31.0,180.0,top
_8,58.001999,-61.0,0.0,top
_7,98.001999,-111.0,0.0,top
_6,10.001999,-61.0,0.0,top
_5,154.001999,-61.0,0.0,top
_4,72.001999,-31.0,180.0,top
_3,194.001999,-111.0,0.0,top
_2,72.001999,-89.0,180.0,top
,24.001999,-89.0,180.0,top
C1_8,133.761036,-10.43,90.0,top
C1_7,37.761036,-68.43,90.0,top
C1_6,133.761036,-68.43,90.0,top
C1_5,181.761036,-10.43,90.0,top
C1_4,181.761036,-68.43,90.0,top
C1_3,85.761036,-10.43,90.0,top
C1_2,85.761036,-68.43,90.0,top
C1,37.761036,-10.43,90.0,top
C10_8,125.501999,-36.7,270.0,top
C10_7,125.501999,-94.7,270.0,top
C10_6,77.501999,-94.7,270.0,top
C10_5,77.501999,-36.7,270.0,top
C10_4,173.501999,-36.7,270.0,top
C10_3,29.501999,-36.7,270.0,top
C10_2,173.501999,-94.7,270.0,top
C10,29.501999,-94.7,270.0,top
C11_8,76.601999,-87.3,90.0,top
C11_7,124.601999,-29.3,90.0,top
C11_6,172.601999,-87.3,90.0,top
C11_5,124.601999,-87.3,90.0,top
C11_4,28.601999,-87.3,90.0,top
C11_3,76.601999,-29.3,90.0,top
C11_2,28.601999,-29.3,90.0,top
C11,172.601999,-29.3,90.0,top
C12_8,126.501999,-94.7,90.0,top
C12_7,30.501999,-94.7,90.0,top
C12_6,30.501999,-36.7,90.0,top
C12_5,78.501999,-36.7,90.0,top
C12_4,174.501999,-94.7,90.0,top
C12_3,126.501999,-36.7,90.0,top
C12_2,174.501999,-36.7,90.0,top
C12,78.501999,-94.7,90.0,top
C13_8,78.501999,-38.5,90.0,top
C13_7,174.501999,-38.5,90.0,top
C13_6,126.501999,-38.5,90.0,top
C13_5,78.501999,-96.5,90.0,top
C13_4,30.501999,-96.5,90.0,top
C13_3,126.501999,-96.5,90.0,top
C13_2,30.501999,-38.5,90.0,top
C13,174.501999,-96.5,90.0,top
C14_8,186.401999,-10.5,180.0,top
C14_7,90.401999,-10.5,180.0,top
C14_6,186.401999,-68.5,180.0,top
C14_5,138.401999,-68.5,180.0,top
C14_4,42.401999,-68.5,180.0,top
C14_3,138.401999,-10.5,180.0,top
C14_2,42.401999,-10.5,180.0,top
C14,90.401999,-68.5,180.0,top
C15_8,46.601999,-66.1,0.0,top
C15_7,142.601999,-66.1,0.0,top
C15_6,190.601999,-8.1,0.0,top
C15_5,142.601999,-8.1,0.0,top
C15_4,94.601999,-66.1,0.0,top
C15_3,46.601999,-8.1,0.0,top
C15_2,190.601999,-66.1,0.0,top
C15,94.601999,-8.1,0.0,top
C16_8,162.701999,-72.5,90.0,top
C16_7,114.701999,-14.5,90.0,top
C16_6,18.701999,-72.5,90.0,top
C16_5,66.701999,-72.5,90.0,top
C16_4,114.701999,-72.5,90.0,top
C16_3,162.701999,-14.5,90.0,top
C16_2,66.701999,-14.5,90.0,top
C16,18.701999,-14.5,90.0,top
C2_8,124.601999,-32.7,270.0,top
C2_7,28.601999,-32.7,270.0,top
C2_6,28.601999,-90.7,270.0,top
C2_5,172.601999,-32.7,270.0,top
C2_4,76.601999,-90.7,270.0,top
C2_3,76.601999,-32.7,270.0,top
C2_2,172.601999,-90.7,270.0,top
C2,124.601999,-90.7,270.0,top
C21_8,184.593536,-10.43,270.0,top
C21_7,136.593536,-68.43,270.0,top
C21_6,88.593536,-10.43,270.0,top
C21_5,184.593536,-68.43,270.0,top
C21_4,40.593536,-68.43,270.0,top
C21_3,136.593536,-10.43,270.0,top
C21_2,40.593536,-10.43,270.0,top
C21,88.593536,-68.43,270.0,top
C22_8,169.739499,-76.35,180.0,top
C22_7,73.739499,-76.35,180.0,top
C22_6,25.739499,-18.35,180.0,top
C22_5,121.739499,-18.35,180.0,top
C22_4,121.739499,-76.35,180.0,top
C22_3,169.739499,-18.35,180.0,top
C22_2,25.739499,-76.35,180.0,top
C22,73.739499,-18.35,180.0,top
C23_8,124.539499,-71.75,0.0,top
C23_7,28.539499,-13.75,0.0,top
C23_6,172.539499,-71.75,0.0,top
C23_5,28.539499,-71.75,0.0,top
C23_4,76.539499,-13.75,0.0,top
C23_3,172.539499,-13.75,0.0,top
C23_2,124.539499,-13.75,0.0,top
C23,76.539499,-71.75,0.0,top
C24_8,87.623537,-10.43,270.0,top
C24_7,135.623537,-10.43,270.0,top
C24_6,39.623537,-10.43,270.0,top
C24_5,87.623537,-68.43,270.0,top
C24_4,183.623537,-10.43,270.0,top
C24_3,39.623537,-68.43,270.0,top
C24_2,183.623537,-68.43,270.0,top
C24,135.623537,-68.43,270.0,top
C25_8,176.702,-73.95,90.0,top
C25_7,80.702,-15.95,90.0,top
C25_6,32.702,-73.95,90.0,top
C25_5,80.702,-73.95,90.0,top
C25_4,128.702,-73.95,90.0,top
C25_3,32.702,-15.95,90.0,top
C25_2,176.702,-15.95,90.0,top
C25,128.702,-15.95,90.0,top
C26_8,80.701999,-76.2,270.0,top
C26_7,128.701999,-18.2,270.0,top
C26_6,176.701999,-18.2,270.0,top
C26_5,32.701999,-76.2,270.0,top
C26_4,176.701999,-76.2,270.0,top
C26_3,32.701999,-18.2,270.0,top
C26_2,80.701999,-18.2,270.0,top
C26,128.701999,-76.2,270.0,top
C27_8,176.701999,-20.0,270.0,top
C27_7,80.701999,-78.0,270.0,top
C27_6,32.701999,-78.0,270.0,top
C27_5,80.701999,-20.0,270.0,top
C27_4,128.701999,-20.0,270.0,top
C27_3,32.701999,-20.0,270.0,top
C27_2,128.701999,-78.0,270.0,top
C27,176.701999,-78.0,270.0,top
C28_8,169.301999,-71.95,0.0,top
C28_7,121.301999,-13.95,0.0,top
C28_6,73.301999,-71.95,0.0,top
C28_5,169.301999,-13.95,0.0,top
C28_4,25.301999,-13.95,0.0,top
C28_3,25.301999,-71.95,0.0,top
C28_2,73.301999,-13.95,0.0,top
C28,121.301999,-71.95,0.0,top
C29_8,173.001999,-18.15,180.0,top
C29_7,77.001999,-18.15,180.0,top
C29_6,173.001999,-76.15,180.0,top
C29_5,29.001999,-18.15,180.0,top
C29_4,125.001999,-76.15,180.0,top
