Comment,Designator,Footprint,LCSC
reset,"SW1,SW2",Button_SKRKAEE020,C115357
1K,"R17,R18,R29,R30,R31,R5",R_0402_1005Metric,C11702
2.2uF,"C10,C13,C4,C7",C_0402_1005Metric,C12530
HR8833,"U1,U4,U5,U6",HR8833,C128666
AO3401A,Q1,SOT-23-small,C15127
10nF,"C12,C3,C34,C6,C9",C_0402_1005Metric,C15195
100pF,C14,C_0402_1005Metric,C1546
10uF,"C21,C43",C_0402_1005Metric,C15525
10uF,"C11,C2,C5,C8",C_0805_2012Metric,C15850
JST SR/SZ,"J1,J10,J13,J17,J4,J7",JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,C160392
USB_C_Receptacle,U17,USB_TYPE-C-31-M-12,C165948
1N5819,D2,D_SOD-323,C191023
Z5V6,D1,D_SOD-323,C22612
10K,"R10,R19,R20,R21,R22,R23,R24,R25,R28",R_0402_1005Metric,C25744
15K,"R12,R26",R_0402_1005Metric,C25756
33K,R13,R_0402_1005Metric,C25779
2K2,R27,R_0402_1005Metric,C25879
4K7,R14,R_0402_1005Metric,C25900
5.1K,"R15,R16",R_0402_1005Metric,C25905
5.6uH,"L1,L2",LVF252A12,C280501
USBLC6-2P6,U9,SOT-666,C2827693
LSM6DSO,U26,Bosch_LGA-14_3x2.5mm_P0.5mm,C2829074
BMI270,U23,Bosch_LGA-14_3x2.5mm_P0.5mm,C2836813
LED_red,D4,LED_3mm,C2895470
LED_blue,D5,LED_3mm,C2895474
LED_green,D6,LED_3mm,C2895476
ESP32-S3FN8,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2913196
100nF,"C1,C15,C25,C26,C28,C29,C30,C40,C41,C42",C_0402_1005Metric,C307331
XKB5858-Z-75,U8,XKB5858-Z-75,C318867
10pF,"C32,C33,C37,C38",C_0402_1005Metric,C32949
0.1R,"R1,R3,R6,R8",R_0402_1005Metric,C346796
68K,R11,R_0402_1005Metric,C36871
MMC5983MA,U25,LGA-16_3x3mm_P0.5mm,C404329
82uF,"C20,C39",Cap_THT_82uF_5mm_2mm,C442812
RFANT3216120A5T,J14,C_1206_3216Metric,C484541
Crystal_ESP32,U3,Crystal_SMD_2016-4Pin_2.0x1.6mm,C501798
ServoPorts_2x3,"U18,U19",ServoPorts_2x3,C5116479
1uF,"C24,C27,C31",C_0402_1005Metric,C52923
Screw_Terminal_01x02,"J11,J12,J2,J3,J5,J6,J8,J9",TerminalBlock_Ningbo_2P_5mm,C557646
"22uF, 6V3","C35,C36",C_0603_1608Metric,C59461
74HC595,"U13,U14",TSSOP-16_4.4x5mm_P0.65mm,C5948
Z3V3,D3,D_SOD-323,C75073
SY8113BADC,"U15,U16",TSOT-23-6,C78989
Barrel_Jack,J15,DC-005C_1,C84007
"10uF,25V","C22,C23",C_0603_1608Metric,C96446
GND,TP8,PogoPad1,
qwiic_sda,TP6,PogoPad1,
Sver,TP21,PogoPad1,
GND,TP9,PogoPad1,
GND,TP5,PogoPad1,
GND,TP15,PogoPad1,
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
RX0,TP1,PogoPad1,
GND,TP3,PogoPad1,
Svin,TP20,PogoPad1,
GND,TP17,PogoPad1,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TX0,TP2,PogoPad1,
nSleep,TP22,PogoPad1,
qwiic_scl,TP7,PogoPad1,
GND,TP10,PogoPad1,
GND,TP16,PogoPad1,
GND,TP4,PogoPad1,
