Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,7.759037,15.57,90.0,top
C2,10uF,C_0805_2012Metric,2.4,-1.2,0.0,top
C3,10nF,C_0402_1005Metric,5.3,-1.7,180.0,top
C4,2.2uF,C_0402_1005Metric,5.3,-8.7,0.0,top
C5,10uF,C_0805_2012Metric,-2.4,-9.2,180.0,top
C6,10nF,C_0402_1005Metric,-5.2,-8.7,0.0,top
C7,2.2uF,C_0402_1005Metric,-4.1,-1.3,90.0,top
C8,10uF,C_0805_2012Metric,2.4,-9.2,0.0,top
C9,10nF,C_0402_1005Metric,-5.2,-16.7,0.0,top
C10,2.2uF,C_0402_1005Metric,-5.2,-9.7,180.0,top
C11,10uF,C_0805_2012Metric,-1.8,-1.2,180.0,top
C12,10nF,C_0402_1005Metric,5.3,-9.7,180.0,top
C13,2.2uF,C_0402_1005Metric,5.3,-16.7,0.0,top
C14,100pF,C_0402_1005Metric,12.4,15.5,180.0,top
C15,100nF,C_0402_1005Metric,16.6,17.9,0.0,top
C20,82uF,Cap_THT_82uF_5mm_2mm,-12.15,14.0,90.0,top
C21,10uF,C_0402_1005Metric,10.591537,15.57,-90.0,top
C22,"10uF,25V",C_0603_1608Metric,0.6,8.7,180.0,top
C23,"10uF,25V",C_0603_1608Metric,-2.8,10.9,-90.0,top
C24,1uF,C_0402_1005Metric,9.621538,15.57,-90.0,top
C25,100nF,C_0402_1005Metric,2.700001,10.05,90.0,top
C26,100nF,C_0402_1005Metric,2.7,7.8,-90.0,top
C27,1uF,C_0402_1005Metric,1.8,7.1,-90.0,top
C28,100nF,C_0402_1005Metric,0.2,13.8,90.0,top
C29,100nF,C_0402_1005Metric,-2.853646,6.693901,-90.0,top
C30,100nF,C_0402_1005Metric,13.559037,7.95,180.0,top
C31,1uF,C_0402_1005Metric,13.579037,14.298528,180.0,top
C32,10pF,C_0402_1005Metric,-1.975223,8.898251,0.0,top
C33,10pF,C_0402_1005Metric,-5.304,9.6125,180.0,top
C34,10nF,C_0402_1005Metric,13.579037,13.45,180.0,top
C35,"22uF, 6V3",C_0603_1608Metric,-3.8,14.0,-90.0,top
C36,"22uF, 6V3",C_0603_1608Metric,-6.1,-1.6,0.0,top
C37,10pF,C_0402_1005Metric,13.579037,12.601471,0.0,top
C38,10pF,C_0402_1005Metric,14.009037,8.85,0.0,top
C39,82uF,Cap_THT_82uF_5mm_2mm,-7.0,14.0,-90.0,top
C40,100nF,C_0402_1005Metric,2.5,-26.05,90.0,top
C41,100nF,C_0402_1005Metric,2.5,-28.0,-90.0,top
C42,100nF,C_0402_1005Metric,-7.6,-28.0,90.0,top
C43,10uF,C_0402_1005Metric,-7.6,-26.0,-90.0,top
D1,Z5V6,D_SOD-323,13.7,23.3,180.0,top
D2,1N5819,D_SOD-323,12.0,17.2,180.0,top
D3,Z3V3,D_SOD-323,13.7,18.5,180.0,top
D4,LED_red,LED_3mm,13.2,2.7,90.0,top
D5,LED_blue,LED_3mm,6.0,2.7,90.0,top
D6,LED_green,LED_3mm,9.6,2.7,90.0,top
J1,JST SR/SZ,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,11.7,-5.0,90.0,top
J2,Screw_Terminal_01x02,TerminalBlock_Ningbo_2P_5mm,19.0,0.75,-90.0,top
J3,Screw_Terminal_01x02,TerminalBlock_Ningbo_2P_5mm,19.0,10.75,-90.0,top
J4,JST SR/SZ,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-11.7,-5.0,-90.0,top
J5,Screw_Terminal_01x02,TerminalBlock_Ningbo_2P_5mm,-19.0,11.25,90.0,top
J6,Screw_Terminal_01x02,TerminalBlock_Ningbo_2P_5mm,-19.0,1.25,90.0,top
J7,JST SR/SZ,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-11.7,-15.0,-90.0,top
J8,Screw_Terminal_01x02,TerminalBlock_Ningbo_2P_5mm,-19.0,-8.75,90.0,top
