Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C1, C15, C25, C26, C28, C29, C30, C40",0402,8,100nF,C307331
"C10, C13, C4, C7",0402,4,2.2uF,C12530
"C11, C2, C5, C8",0805,4,10uF,C15850
"C12, C3, C34, C6, C9",0402,5,10nF,C15195
C14,0402,1,100pF,C1546
"C16, C20",CP_Elec_6.3x7.7,2,220uF,C4747974
C21,0402,1,10uF,C15525
"C22, C23",0603,2,"10uF,25V",C96446
"C24, C27, C31",0402,3,1uF,C52923
"C32, C33, C37, C38",0402,4,10pF,C32949
"C35, C36",0603,2,"22uF, 6V3",C59461
D1,D_SOD-323,1,Z5V6,C22612
D2,D_SOD-323,1,1N5819,C191023
D3,D_SOD-323,1,Z3V3,C75073
D5,0603,1,LED_Blue,
D6,0603,1,LED_green,
"J1, J10, J13, J17, J19, J4, J7",JST_SH_1x06_Vertical,7,JST SR/SZ,C160392
"J11, J12, J2, J3, J5, J6, J8, J9",TerminalBlock_Ningbo_2P_5mm,8,Screw_Terminal_01x02,C8404 
J14,1206,1,RFANT3216120A5T,C127629
J15,DC-005C_1,1,Barrel_Jack,C84007
J16,PinSocket_1x01_P2.54mm_Vertical,1,VIN,
J18,PinSocket_1x01_P2.54mm_Vertical,1,GND,
"L1, L2",LVF252A12,2,4.7uH,C98354
Q1,SOT-23-small,1,AO3401A,C15127
"R10, R19, R20, R21, R22, R23, R24",0402,7,10K,C25744
R11,0402,1,100K,
R12,0402,1,22K1,C163478 
R13,0402,1,100K,C25741
R14,0402,1,13K7,C25854
"R15, R16",0402,2,5.1K,C25905
"R17, R18, R5",0402,3,1K,C11702
R26,0402,1,15K,C25756
R27,0402,1,2K2,C25879
R29,0402,1,3K,
R30,0402,1,5K,
SW1,Button_SKRKAEE020,1,reset,C115357
SW2,Button_SKRKAEE020,1,boot,C115357
TP1,PogoPad1,1,RX0,
TP2,PogoPad1,1,TX0,
TP20,PogoPad1,1,Svin,
TP21,PogoPad1,1,Sver,
"TP3, TP9",PogoPad1,2,GND,
TP4,PogoPad1,1,ECLK,
TP5,PogoPad1,1,LED0,
TP6,PogoPad1,1,SCL,
TP7,PogoPad1,1,SDA,
TP8,PogoPad1,1,MOE,
"U1, U4, U5, U6",HR8833,4,HR8833,C128666
U10,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,PCA9685BS, C5191634
U11,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Qwiic1,C160390
"U15, U16",TSOT-23-6,2,SY8113BADC,C78989
U17,USB_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
"U18, U19, U7",ServoPorts_2x3,3,ServoPorts_2x3,C5116479
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,ESP32-S3FN8,C2913196
U26,Bosch_LGA-14_3x2.5mm_P0.5mm,1,LSM6DSDTR,C472550
U3,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_ESP32,C501798
U8,XKB5858-Z-75,1,5.8 ZSPT, C2681588
U9,SOT-666,1,USBLC6-2P6,C2827693
